from,to,weight
LLA,AnCo,3
LLA,MiBr,2
LLA,TCM,1
LLA,KeAr,1
LLA,MiLa,1
LLA,CaFi,1
LLA,LiGa,1
LLA,EmNu,1
LLA,RE,1
AnCo,AsPr,2
AnCo,MiBr,2
AnCo,TCM,1
AnCo,KeAr,1
AnCo,CaFi,1
AnCo,LiGa,1
AnCo,WAPO,2
AnCo,AJR,2
AnCo,FaSt,1
AnCo,TyHi,1
MiBr,TCM,1
MiBr,KeAr,1
MiBr,MiLa,1
MiBr,CaFi,1
MiBr,LiGa,1
MiBr,RE,1
TCM,KeAr,2
TCM,MiLa,1
TCM,CaFi,1
TCM,LiGa,1
TCM,WAPO,2
TCM,AJR,2
TCM,EmNu,1
TCM,RE,1
KeAr,MiLa,1
KeAr,CaFi,1
KeAr,LiGa,1
KeAr,WAPO,2
KeAr,EmNu,1
MiLa,CaFi,3
MiLa,LiGa,3
MiLa,RE,2
CaFi,LiGa,3
CaFi,KaSc,1
CaFi,FaSt,2
LiGa,AsPr,2
LiGa,KaSc,1
LiGa,FaSt,2
LiGa,EmNu,1
LiGa,JaOh,1
WAPO,AsPr,1
WAPO,AJR,2
WAPO,KaSc,2
WAPO,FaSt,1
WAPO,EmNu,2
WAPO,JaOh,2
WAPO,MaLi,2
WAPO,SePo,2
WAPO,TyHi,2
WAPO,DaEt,2
WAPO,RE,2
WAPO,JeRi,2
AJR,MaLi,3
AJR,SePo,3
AJR,TyHi,3
AJR,DaEt,3
KaSc,AsPr,1
KaSc,FaSt,1
KaSc,EmNu,3
FaSt,EmNu,1
FaSt,JaOh,1
FaSt,TyHi,1
FaSt,RE,2
FaSt,JeRi,3
JoHa,BrGl,3
JaOh,AsPr,2
MaLi,SePo,3
MaLi,TyHi,3
MaLi,DaEt,3
SePo,AsPr,3
SePo,TyHi,3
SePo,DaEt,3
SePo,RE,2
TyHi,AsPr,2
TyHi,DaEt,3
TyHi,RE,2
DaEt,AsPr,2
DaEt,RE,2
RE,AsPr,1
RE,JeRi,2
LAT,TCM,3
LAT,CaFi,2
LAT,WAPO,2
LAT,AJR,2
LAT,KaSc,2
LAT,EmNu,2
LAT,JaOh,2
LAT,MaLi,2
LAT,SePo,2
LAT,TyHi,2
LAT,DaEt,2
LAT,JeRi,2
